Metabolite.name,Sample191,Sample197,Sample428,Sample433,Sample464,Sample270,Sample429,Sample430,Sample439
TG 58:7|TG 18:0_18:2_22:5,8177,64328,635942,12223,35127,25040,20751,11426,212149
TG 58:9|TG 18:1_16:2_24:6,5608,6488,1763002,NA,NA,21461,NA,169,51421
TG 58:9|TG 18:1_18:3_22:5,21878,46797,8856463,85255,2920,9590,21256,3896,29988
TG 58:9|TG 18:3_20:3_20:3,NA,59495,379257,NA,16,47,22289,13613,539446
TG 60:1|TG 18:0_24:0_18:1,68436,22389,7240,22561,13634,NA,2420,30932,269629
TG 60:10|TG 18:0_20:5_22:5,3859,34308,9259007,31415,50114,21742,43912,11069,21957
TG 60:11|TG 20:3_20:3_20:5,1118,30775,443488,195,2440,2159,7406,20129,40085
TG 60:2|TG 18:0_24:0_18:2,59496,99613,7114,73121,60411,19115,40485,44165,715978
TG 60:3|TG 24:0_18:1_18:2,13620,598662,367355,117086,6250,33972,53858,73108,166513
TG 60:4|TG 24:0_18:2_18:2,7437,217326,473372,60443,2244,9928,12299,5858,17880
TG 60:8|TG 20:2_20:3_20:3,2726,7222,11092392,793,525,8889,6937,27284,297414
TG 60:9|TG 20:3_20:3_20:3,588,27197,4263673,15273,973,57640,50059,38692,23138
TG 62:12|TG 18:1_22:5_22:6,6972,61431,1294963,51300,709,320402,240163,31274,83086
FA 16:0,130546,131815,226818,161505,111836,193242,217487,219288,160365
FA 16:1,19558,11968,23240,14351,23002,15283,23711,17424,14135
FA 18:0,247252,214311,284944,211905,203277,209388,318906,294585,227523
FA 18:1,146210,91798,167997,105585,98482,137414,151351,151358,118349
FA 18:2,20239,12766,28290,17999,20034,15481,24920,17977,16518
FA 26:2,60,31,28303,5563,54,47710,5883,1203,45
FA 28:2,2,43,258665,8483,30,13448,10008,13361,4
FA 28:3,NA,NA,22184,12601,69,15041,12577,3450,17
FA 28:7,6863,6155,7413,7025,7046,5658,8109,6520,6599
FA 30:1,594,5957,319460,56963,2152,13534,16365,30724,190
FA 30:3,204,126,112628,23600,NA,16678,65915,3903,13
FA 32:2,196,283,131892,4855,272,27980,30108,12318,77
FA 38:5,44545,41359,44815,47315,45489,26644,36936,47771,41032
FA 42:10,1313,2672,4217,1311,21522,748,1651,895,1817
FA 42:8,2556,11857,7076,16389,12275,1626,14726,12529,1812
FA 44:10,30301,7845,10386,6159,4928,236,10259,2641,24109
FA 44:7,316,3991,305,10687,101,312,32817,6815,101
PE 36:2|PE 18:0_18:2,20203,70899,2016,163304,10502,1025,23726,8803,1516
PE 38:3|PE 18:0_20:3,16271,18673,5392,25760,8905,6630,13427,7443,5846
DG 16:0,46762,357188,192958,42982,57441,567771,212188,227436,504267
DG 20:0,24751,10116,46808980,1383268,36723,1094047,701224,489347,9234
DG 22:1,40,8691,280482,408,3623,199689,201686,19421,2675
DG 24:0,NA,25183,61783,NA,15977,273,41145,8106,1403982
DG 24:1,811463,1014500,1240336,1540435,528462,1772776,2271018,1059698,1767691
DG 24:2,605,NA,48284,7257,69,1298,2428,126,415
DG 24:3,NA,103777,76707,2549,NA,87580,393491,75814,75590
DG 26:1,24244,11187,33760,67452,8808,590298,2937766,1561952,2108289
DG 26:3,18973,39315,16101,28104,4490,26829,22213,30309,6814
DG 26:5,143708,32380,154754,218285,60285,134841,205281,99431,81416
